X (mm),Y (mm),Z (mm)
-2.64179,0.248515,-1.23325
-2.64174,0.248515,-1.23317
-2.64168,0.248515,-1.23309
-2.64163,0.248515,-1.233
-2.64158,0.248515,-1.23292
-2.64152,0.248515,-1.23283
-2.64147,0.248515,-1.23275
-2.64142,0.248515,-1.23266
-2.64136,0.248515,-1.23258
-2.64131,0.248515,-1.2325
-2.64126,0.248515,-1.23241
-2.6412,0.248515,-1.23233
-2.64115,0.248515,-1.23224
-2.64109,0.248515,-1.23216
-2.64104,0.248515,-1.23207
-2.64099,0.248515,-1.23199
-2.64093,0.248515,-1.2319
-2.64088,0.248515,-1.23182
-2.64083,0.248515,-1.23174
-2.64077,0.248515,-1.23165
-2.64072,0.248515,-1.23157
-2.64067,0.248515,-1.23148
-2.64061,0.248515,-1.2314
-2.64056,0.248515,-1.23131
-2.6405,0.248515,-1.23123
-2.64045,0.248515,-1.23114
-2.6404,0.248515,-1.23106
-2.64034,0.248515,-1.23098
-2.64029,0.248515,-1.23089
-2.64024,0.248515,-1.23081
-2.64018,0.248515,-1.23072
-2.64013,0.248515,-1.23064
-2.64008,0.248515,-1.23055
-2.64002,0.248515,-1.23047
-2.63997,0.248515,-1.23039
-2.63991,0.248515,-1.2303
-2.63986,0.248515,-1.23022
-2.63981,0.248515,-1.23013
-2.63975,0.248515,-1.23005
-2.6397,0.248515,-1.22996
-2.63965,0.248515,-1.22988
-2.63959,0.248515,-1.22979
-2.63954,0.248515,-1.22971
-2.63948,0.248515,-1.22963
-2.63943,0.248515,-1.22954
-2.63938,0.248515,-1.22946
-2.63932,0.248515,-1.22937
-2.63927,0.248515,-1.22929
-2.63922,0.248515,-1.2292
-2.63916,0.248515,-1.22912
-2.63911,0.248515,-1.22904
-2.63906,0.248515,-1.22895
-2.639,0.248515,-1.22887
-2.63895,0.248515,-1.22878
-2.63889,0.248515,-1.2287
-2.63884,0.248515,-1.22861
-2.63879,0.248515,-1.22853
-2.63873,0.248515,-1.22844
-2.63868,0.248515,-1.22836
-2.63863,0.248515,-1.22828
-2.63857,0.248515,-1.22819
-2.63852,0.248515,-1.22811
-2.63847,0.248515,-1.22802
-2.63841,0.248515,-1.22794
-2.63836,0.248515,-1.22785
-2.6383,0.248515,-1.22777
-2.63825,0.248515,-1.22769
-2.6382,0.248515,-1.2276
-2.63814,0.248515,-1.22752
-2.63809,0.248515,-1.22743
-2.63804,0.248515,-1.22735
-2.63798,0.248515,-1.22726
-2.63793,0.248515,-1.22718
-2.63788,0.248515,-1.22709
-2.63782,0.248515,-1.22701
-2.63777,0.248515,-1.22693
-2.63771,0.248515,-1.22684
-2.63766,0.248515,-1.22676
-2.63761,0.248515,-1.22667
-2.63755,0.248515,-1.22659
-2.6375,0.248515,-1.2265
-2.63745,0.248515,-1.22642
-2.63739,0.248515,-1.22633
-2.63734,0.248515,-1.22625
-2.63728,0.248515,-1.22617
-2.63723,0.248515,-1.22608
-2.63718,0.248515,-1.226
-2.63712,0.248515,-1.22591
-2.63707,0.248515,-1.22583
-2.63702,0.248515,-1.22574
-2.63696,0.248515,-1.22566
-2.63691,0.248515,-1.22558
-2.63686,0.248515,-1.22549
-2.6368,0.248515,-1.22541
-2.63675,0.248515,-1.22532
-2.63669,0.248515,-1.22524
-2.63664,0.248515,-1.22515
-2.63659,0.248515,-1.22507
-2.63653,0.248515,-1.22498
-2.63648,0.248515,-1.2249
-2.63643,0.248515,-1.22482
